Date,Vehicle Count
01-01-2019,10506
01-01-2020,13996
01-02-2019,17848
01-02-2020,19155
01-03-2019,20167
01-03-2020,16766
01-04-2019,19309
01-04-2020,13128
01-05-2019,20100
01-05-2020,13814
01-06-2019,19875
01-07-2019,20842
01-08-2019,22597
01-09-2019,17275
01-10-2019,24141
01-11-2019,24068
01-12-2019,17363
02-01-2019,15665
02-01-2020,20112
02-02-2019,15948
02-02-2020,14524
02-03-2019,18119
02-03-2020,21897
02-04-2019,19939
02-04-2020,13056
02-05-2019,20735
02-05-2020,11550
02-06-2019,14881
02-07-2019,21677
02-08-2019,23035
02-09-2019,21866
02-10-2019,24337
02-11-2019,21642
02-12-2019,23070
03-01-2019,15974
03-01-2020,21468
03-02-2019,12813
03-02-2020,20890
03-03-2019,14581
03-03-2020,22527
03-04-2019,19393
03-04-2020,14179
03-05-2019,22229
03-05-2020,9497
03-06-2019,19852
03-07-2019,21889
03-08-2019,20215
03-09-2019,22140
03-10-2019,24596
03-11-2019,17911
03-12-2019,23970
04-01-2019,15434
04-01-2020,20477
04-02-2019,16650
04-02-2020,22011
04-03-2019,18823
04-03-2020,23351
04-04-2019,19817
04-04-2020,11922
04-05-2019,20152
04-05-2020,12645
04-06-2019,20747
04-07-2019,22157
04-08-2019,15781
04-09-2019,22510
04-10-2019,25194
04-11-2019,22764
04-12-2019,24216
05-01-2019,15816
05-01-2020,16939
05-02-2019,17692
05-02-2020,22382
05-03-2019,19789
05-03-2020,22551
05-04-2019,20311
05-04-2020,9955
05-05-2019,14750
05-05-2020,13043
05-06-2019,21457
05-07-2019,22713
05-08-2019,21101
05-09-2019,22715
05-10-2019,22717
05-11-2019,14443
05-12-2019,24535
06-01-2019,12598
06-01-2020,20565
06-02-2019,16815
06-02-2020,22559
06-03-2019,20105
06-03-2020,23410
06-04-2019,18347
06-04-2020,12471
06-05-2019,19422
06-05-2020,12829
06-06-2019,21583
06-07-2019,20096
06-08-2019,22213
06-09-2019,22897
06-10-2019,18928
06-11-2019,21828
06-12-2019,24240
07-01-2019,15531
07-01-2020,22208
07-02-2019,18543
07-02-2020,23487
07-03-2019,20269
07-03-2020,20866
07-04-2019,14793
07-04-2020,13544
07-05-2019,20452
07-05-2020,13434
07-06-2019,22426
07-07-2019,15540
07-08-2019,22778
07-09-2019,20442
07-10-2019,23265
07-11-2019,22583
07-12-2019,23032
08-01-2019,16456
08-01-2020,22531
08-02-2019,19143
08-02-2020,20962
08-03-2019,20065
08-03-2020,14859
08-04-2019,17818
08-04-2020,12949
08-05-2019,21093
08-05-2020,14331
08-06-2019,19661
08-07-2019,20457
08-08-2019,22024
08-09-2019,15769
08-10-2019,23847
08-11-2019,23057
08-12-2019,18016
09-01-2019,17161
09-01-2020,22928
09-02-2019,16896
09-02-2020,16528
09-03-2019,17926
09-03-2020,13332
09-04-2019,18997
09-04-2020,14290
09-05-2019,21148
09-05-2020,12573
09-06-2019,14960
09-07-2019,21212
09-08-2019,22911
09-09-2019,21226
09-10-2019,24250
09-11-2019,21594
09-12-2019,22736
10-01-2019,17624
10-01-2020,23245
10-02-2019,12641
10-02-2020,21213
10-03-2019,13200
10-03-2020,22359
10-04-2019,18834
10-04-2020,6811
10-05-2019,21207
10-05-2020,9805
10-06-2019,13108
10-07-2019,22134
10-08-2019,20324
10-09-2019,22113
10-10-2019,24452
10-11-2019,16385
10-12-2019,23703
11-01-2019,17636
11-01-2020,21465
11-02-2019,16883
11-02-2020,21944
11-03-2019,9975
11-03-2020,22907
11-04-2019,19203
11-04-2020,9139
11-05-2019,19710
11-05-2020,14781
11-06-2019,21197
11-07-2019,21954
11-08-2019,15731
11-09-2019,22331
11-10-2019,25655
11-11-2019,21143
11-12-2019,24499
12-01-2019,13419
12-01-2020,17271
12-02-2019,17735
12-02-2020,22653
12-03-2019,18707
12-03-2020,22716
12-04-2019,19597
12-04-2020,5329
12-05-2019,14832
12-05-2020,16297
12-06-2019,21773
12-07-2019,22220
12-08-2019,20716
12-09-2019,23660
12-10-2019,22823
12-11-2019,22753
12-12-2019,24349
13-01-2019,9172
13-01-2020,20805
13-02-2019,18259
13-02-2020,22544
13-03-2019,20317
13-03-2020,23673
13-04-2019,18447
13-04-2020,6636
13-05-2019,19399
13-05-2020,16270
13-06-2019,21841
13-07-2019,19956
13-08-2019,21938
13-09-2019,23908
13-10-2019,17286
13-11-2019,23363
13-12-2019,25022
14-01-2019,13507
14-01-2020,21615
14-02-2019,18665
14-02-2020,23430
14-03-2019,20257
14-03-2020,20925
14-04-2019,12968
14-04-2020,12441
14-05-2019,20166
14-05-2020,16330
14-06-2019,22469
14-07-2019,15044
14-08-2019,22278
14-09-2019,21662
14-10-2019,22054
14-11-2019,24294
14-12-2019,22739
15-01-2019,14560
15-01-2020,21790
15-02-2019,19158
15-02-2020,20548
15-03-2019,20755
15-03-2020,16977
15-04-2019,18501
15-04-2020,12864
15-05-2019,20600
15-05-2020,17499
15-06-2019,20332
15-07-2019,20678
15-08-2019,22300
15-09-2019,16685
15-10-2019,23914
15-11-2019,24174
15-12-2019,17915
16-01-2019,16548
16-01-2020,22669
16-02-2019,17519
16-02-2020,16119
16-03-2019,19518
16-03-2020,22117
16-04-2019,18846
16-04-2020,13286
16-05-2019,20458
16-05-2020,14269
16-06-2019,15496
16-07-2019,21753
16-08-2019,22688
16-09-2019,22429
16-10-2019,23982
16-11-2019,22259
16-12-2019,22509
17-01-2019,17671
17-01-2020,23141
17-02-2019,13086
17-02-2020,21584
17-03-2019,15124
17-03-2020,22155
17-04-2019,20219
17-04-2020,14170
17-05-2019,21119
17-05-2020,11542
17-06-2019,20336
17-07-2019,22133
17-08-2019,20423
17-09-2019,22464
17-10-2019,24482
17-11-2019,17351
17-12-2019,23717
18-01-2019,17633
18-01-2020,20920
18-02-2019,17393
18-02-2020,22414
18-03-2019,19377
18-03-2020,21792
18-04-2019,20451
18-04-2020,12067
18-05-2019,19405
18-05-2020,15494
18-06-2019,21797
18-07-2019,22016
18-08-2019,15896
18-09-2019,23387
18-10-2019,24082
18-11-2019,22698
18-12-2019,24428
19-01-2019,15879
19-01-2020,16686
19-02-2019,18130
19-02-2020,22479
19-03-2019,19950
19-03-2020,22484
19-04-2019,13026
19-04-2020,9506
19-05-2019,14377
19-05-2020,16263
19-06-2019,22231
19-07-2019,22776
19-08-2019,21134
19-09-2019,24035
19-10-2019,22276
19-11-2019,23557
19-12-2019,25273
20-01-2019,12620
20-01-2020,20913
20-02-2019,18461
20-02-2020,23076
20-03-2019,20118
20-03-2020,22439
20-04-2019,15264
20-04-2020,12259
20-05-2019,19263
20-05-2020,16773
20-06-2019,21390
20-07-2019,20142
20-08-2019,22671
20-09-2019,24272
20-10-2019,17169
20-11-2019,24049
20-12-2019,23562
21-01-2019,16167
21-01-2020,22044
21-02-2019,19031
21-02-2020,22941
21-03-2019,20168
21-03-2020,18530
21-04-2019,11729
21-04-2020,13057
21-05-2019,20222
21-05-2020,16955
21-06-2019,21721
21-07-2019,15509
21-08-2019,23231
21-09-2019,22261
21-10-2019,21845
21-11-2019,24404
21-12-2019,22561
22-01-2019,17017
22-01-2020,22329
22-02-2019,19511
22-02-2020,21906
22-03-2019,20631
22-03-2020,13914
22-04-2019,11632
22-04-2020,12713
22-05-2019,20652
22-05-2020,17762
22-06-2019,20066
22-07-2019,20792
22-08-2019,22965
22-09-2019,16816
22-10-2019,23209
22-11-2019,24571
22-12-2019,18019
23-01-2019,17725
23-01-2020,22713
23-02-2019,16988
23-02-2020,16951
23-03-2019,17781
23-03-2020,19178
23-04-2019,17900
23-04-2020,13032
23-05-2019,21314
23-05-2020,14665
23-06-2019,15211
23-07-2019,21266
23-08-2019,23449
23-09-2019,21884
23-10-2019,23131
23-11-2019,22484
23-12-2019,23367
24-01-2019,17381
24-01-2020,23144
24-02-2019,13162
24-02-2020,21792
24-03-2019,11404
24-03-2020,17567
24-04-2019,19567
24-04-2020,13843
24-05-2019,21872
24-05-2020,11561
24-06-2019,19775
24-07-2019,22246
24-08-2019,20942
24-09-2019,23718
24-10-2019,22380
24-11-2019,17563
24-12-2019,23711
25-01-2019,17489
25-01-2020,20169
25-02-2019,17034
25-02-2020,21854
25-03-2019,19018
25-03-2020,16825
25-04-2019,13071
25-04-2020,10084
25-05-2019,20001
25-05-2020,14372
25-06-2019,21298
25-07-2019,22109
25-08-2019,16454
25-09-2019,24123
25-10-2019,23339
25-11-2019,22653
25-12-2019,12669
26-01-2019,11102
26-01-2020,14524
26-02-2019,18679
26-02-2020,23476
26-03-2019,20141
26-03-2020,16560
26-04-2019,20392
26-04-2020,6662
26-05-2019,14754
26-05-2020,5480
26-06-2019,21935
26-07-2019,22736
26-08-2019,21335
26-09-2019,24423
26-10-2019,22285
26-11-2019,23676
26-12-2019,13403
27-01-2019,6702
27-01-2020,13143
27-02-2019,19543
27-02-2020,23386
27-03-2019,20088
27-03-2020,16512
27-04-2019,18846
27-04-2020,12013
27-05-2019,20477
27-06-2019,21598
27-07-2019,20612
27-08-2019,22323
27-09-2019,17012
27-10-2019,16157
27-11-2019,23935
27-12-2019,21105
28-01-2019,7163
28-01-2020,20881
28-02-2019,19569
28-02-2020,23530
28-03-2019,19911
28-03-2020,12713
28-04-2019,14358
28-04-2020,12564
28-05-2019,22112
28-06-2019,22342
28-07-2019,16266
28-08-2019,22899
28-09-2019,19676
28-10-2019,21583
28-11-2019,24029
28-12-2019,19493
29-01-2019,16530
29-01-2020,22278
29-02-2020,20565
29-03-2019,20551
29-03-2020,7643
29-04-2019,19448
29-04-2020,12648
29-05-2019,21541
29-06-2019,19637
29-07-2019,20981
29-08-2019,23502
29-09-2019,17774
29-10-2019,22429
29-11-2019,23871
29-12-2019,16993
30-01-2019,17494
30-01-2020,22162
30-03-2019,18600
30-03-2020,13002
30-04-2019,19351
30-04-2020,12646
30-05-2019,22341
30-06-2019,15428
30-07-2019,22035
30-08-2019,23794
30-09-2019,22349
30-10-2019,22847
30-11-2019,21695
30-12-2019,19287
31-01-2019,17187
31-01-2020,22277
31-03-2019,14037
31-03-2020,13833
31-05-2019,21564
31-07-2019,22436
31-08-2019,22123
31-10-2019,23824
31-12-2019,20052
